ID,Email,FirstName,lastName,Age,Gender,Type,Status,Children,Estimated Income,Car owner,churn score,churn class,churn status,zipCode,Marital Status,Long Distance,LongDistanceBilltype,International,Local,LocalBilltype,Dropped,Paymethod,RatePlan,Balance,Usage
2,Name_2@email.com,firstName_2,Name_2,24.393333,F,Person,S,1,38000,FALSE,0.869167943,T,Assessed,95050,Family,23.56,Intnl_discount,14.30629914,206.08,Budget,0,CC,3,135.8719626,229.64
6,Name_6@email.com,firstName_6,Name_6,49.426667,M,Person,M,2,29616,FALSE,0.512708901,F,Assessed,94000,Single,29.78,Standard,44.36689627,45.5,FreeLocal,0,CH,2,1.172507808,75.29
8,Name_8@email.com,firstName_8,Name_8,50.673333,M,Person,M,0,19732.8,FALSE,0.510973186,F,Assessed,94000,Married,24.81,Standard,37.12793431,22.44,FreeLocal,0,CC,3,95.60718633,47.25
11,Name_11@email.com,firstName_11,Name_11,56.473333,M,Person,S,2,96.33,FALSE,0.416202488,F,Assessed,94000,Single,26.13,Standard,2.57848186,32.88,Budget,1,CC,1,140.0090632,59.01
14,Name_14@email.com,firstName_14,Name_14,25.14,F,Person,M,2,52004.8,FALSE,0.539396739,F,Assessed,95050,Single,5.03,Intnl_discount,35.155216,23.11,Budget,0,CH,1,2.783008829,28.14
17,Name_17@email.com,firstName_17,Name_17,18.84,M,Person,M,2,53010.8,FALSE,0.489324835,F,Assessed,95050,Single,12.45,Standard,30.65774072,46.42,FreeLocal,4,CC,1,121.2210028,58.87
18,Name_18@email.com,firstName_18,Name_18,64.8,M,Person,M,1,75004.5,FALSE,0.190082909,F,Assessed,95050,Single,26.52,Intnl_discount,5.375170523,32.19,Budget,0,CC,1,123.6294943,58.72
21,Name_21@email.com,firstName_21,Name_21,60.366667,M,Person,M,0,19749.3,FALSE,0.136931215,F,Assessed,95050,Single,20.22,Standard,37.25017166,13.94,Budget,0,CC,3,81.91411446,34.17
22,Name_22@email.com,firstName_22,Name_22,43.906667,M,Person,S,1,57626.9,FALSE,0.436571198,F,Assessed,95050,Married,9.38,Standard,25.37159345,38.96,Budget,0,CC,2,105.9296613,48.35
23,Name_23@email.com,firstName_23,Name_23,32.846667,M,Person,M,2,20078,FALSE,0.221591912,F,Assessed,95051,Married,9.65,Intnl_discount,15.59716743,6.33,Budget,0,CC,4,98.42103124,15.98
24,Name_24@email.com,firstName_24,Name_24,26.033333,F,Person,M,2,47902,FALSE,0.431191527,F,Assessed,95051,Married,17.44,Standard,4.94,49.92,FreeLocal,1,Auto,2,55.08832766,72.31
29,Name_29@email.com,firstName_29,Name_29,16.753333,M,Person,M,1,7545.96,FALSE,0.879701005,T,Assessed,43000,Married,22.39,Standard,9.528638565,178.36,Budget,0,CC,3,137.4798717,200.75
35,Name_35@email.com,firstName_35,Name_35,48.373333,F,Person,S,0,78851.3,FALSE,0.786094766,T,Assessed,94000,Single,0.37,Standard,40.80271177,28.66,FreeLocal,0,CC,4,72.32967561,29.04
36,Name_36@email.com,firstName_36,Name_36,62.786667,F,Person,S,1,17540.7,FALSE,0.869301906,T,Assessed,93000,Single,22.17,Standard,0.57,13.45,Budget,0,Auto,4,9.328526,36.2
37,Name_37@email.com,firstName_37,Name_37,61.02,F,Person,M,0,83891.9,FALSE,0.922305912,T,Assessed,6000,Married,28.92,Standard,48.56257026,45.47,Budget,0,CH,4,97.19984621,74.4
38,Name_38@email.com,firstName_38,Name_38,38.766667,F,Person,M,2,28220.8,FALSE,0.903038852,T,Assessed,6200,Married,26.49,Standard,3.021340535,12.46,FreeLocal,0,CC,4,78.63082404,38.95
40,Name_40@email.com,firstName_40,Name_40,15.6,F,Person,S,0,28589.1,FALSE,0.983001913,T,Assessed,94000,Single,13.19,Standard,13.63424443,87.09,FreeLocal,0,CC,4,38.78284644,100.28
42,Name_42@email.com,firstName_42,Name_42,48.753333,F,Person,M,2,5237.63,FALSE,0.169833921,F,Assessed,92100,Married,13.32,Standard,8.05,56.64,Budget,0,CC,2,100.2440797,78.02
45,Name_45@email.com,firstName_45,Name_45,53.28,M,Person,S,2,89459.9,FALSE,0.934173574,T,Assessed,87430,Single,11.54,Standard,1.61,22.9,FreeLocal,0,CC,2,69.64388052,36.05
